   12    0/  1   89(1832) 2B(1756) B4(1720) EB(1648) 94(1392) 6A(1320) 0E(1208) 1F(1208) 24(1208) 41(1208) 47(1208) 

[2;66HAircrack-ng 1.2 rc4

[5;50H[00:00:02] Tested 1769473 keys (got 614 IVs)[K[7;4HKB    depth   byte(vote)
    0    0/  2   16(1792) 22(1792) 31(1792) 7D(1792) 0D(1536) 9D(1536) BF(1536) D8(1536) FE(1536) 00(1280) 08(1280) 
    1    0/  1   05(2560) AF(2048) 43(1792) C8(1792) 0F(1536) 2D(1536) 31(1536) 9D(1536) 9F(1536) D6(1536) EA(1536) 
    2    0/  1   8F(2048) D6(2048) 2A(1536) 50(1536) 77(1536) D0(1536) DF(1536) FE(1536) 09(1280) 15(1280) 19(1280) 
    3    0/  1   93(1792) 4C(1792) 6D(1792) 63(1536) F4(1536) 1E(1280) 26(1280) 27(1280) 29(1280) 35(1280) 37(1280) 
    4    0/  1   15(1792) 0F(1536) 26(1536) C2(1536) D4(1536) EB(1536) ED(1536) 03(1280) 1D(1280) 2C(1280) 4F(1280) 
    5    0/  1   4B(2816) 94(2048) DC(1792) 10(1536) 28(1536) 41(1536) 6C(1536) 71(1536) 96(1536) AC(1536) C3(1536) 
    6    0/  1   40(2048) 72(1792) 19(1536) 24(1536) 2A(1536) 41(1536) 5F(1536) 98(1536) DF(1536) 08(1280) 13(1280) 
    7    0/  1   3D(2048) BF(2048) 6C(1792) 87(1792) 99(1792) E6(1792) 00(1536) 08(1536) 63(1536) 7D(1536) 97(1536) 
    8    0/  1   F8(1792) F4(1792) 02(1536) 13(1536) 63(1536) 86(1536) 9B(1536) C5(1536) 17(1280) 25(1280) 42(1280) 
    9    0/  1   AA(1792) 09(1536) B2(1536) CF(1536) 2C(1280) 35(1280) 38(1280) 3F(1280) 42(1280) 4F(1280) 63(1280) 
   10    0/  1   9C(1792) F8(1792) 53(1536) 5A(1536) 7A(1536) 7F(1536) C5(1536) 01(1280) 05(1280) 0A(1280) 0C(1280) 
   11    0/  1   96(2304) 26(2048) 87(2048) 23(1536) 3B(1536) 3E(1536) 61(1536) 93(1536) AE(1536) DC(1536) E3(1536) 
   12    0/ 12   43(1832) 2B(1756) B4(1720) EB(1648) 94(1392) 6A(1320) 0E(1208) 1F(1208) 24(1208) 41(1208) 47(1208) 

[2;66HAircrack-ng 1.2 rc4

[5;50H[00:00:08] Tested 7536641 keys (got 614 IVs)[K[7;4HKB    depth   byte(vote)
    0    0/  2   16(1792) 22(1792) 31(1792) 7D(1792) 0D(1536) 9D(1536) BF(1536) D8(1536) FE(1536) 00(1280) 08(1280) 
    1    0/  1   05(2560) AF(2048) 43(1792) C8(1792) 0F(1536) 2D(1536) 31(1536) 9D(1536) 9F(1536) D6(1536) EA(1536) 
    2    0/  1   8F(2048) D6(2048) 2A(1536) 50(1536) 77(1536) D0(1536) DF(1536) FE(1536) 09(1280) 15(1280) 19(1280) 
    3    0/  1   93(1792) 4C(1792) 6D(1792) 63(1536) F4(1536) 1E(1280) 26(1280) 27(1280) 29(1280) 35(1280) 37(1280) 
    4    0/  1   15(1792) 0F(1536) 26(1536) C2(1536) D4(1536) EB(1536) ED(1536) 03(1280) 1D(1280) 2C(1280) 4F(1280) 
    5    0/  1   4B(2816) 94(2048) DC(1792) 10(1536) 28(1536) 41(1536) 6C(1536) 71(1536) 96(1536) AC(1536) C3(1536) 
    6    0/  1   40(2048) 72(1792) 19(1536) 24(1536) 2A(1536) 41(1536) 5F(1536) 98(1536) DF(1536) 08(1280) 13(1280) 
    7    0/  1   3D(2048) BF(2048) 6C(1792) 87(1792) 99(1792) E6(1792) 00(1536) 08(1536) 63(1536) 7D(1536) 97(1536) 
    8    0/  1   F8(1792) F4(1792) 02(1536) 13(1536) 63(1536) 86(1536) 9B(1536) C5(1536) 17(1280) 25(1280) 42(1280) 
    9    0/  9   BC(1792) 09(1536) B2(1536) CF(1536) 2C(1280) 35(1280) 38(1280) 3F(1280) 42(1280) 4F(1280) 63(1280) 
   10    0/  1   9C(1792) F8(1792) 53(1536) 5A(1536) 7A(1536) 7F(1536) C5(1536) 01(1280) 05(1280) 0A(1280) 0C(1280) 
   11    0/  1   96(2304) 26(2048) 87(2048) 23(1536) 3B(1536) 3E(1536) 61(1536) 93(1536) AE(1536) DC(1536) E3(1536) 
   12    0/ 12   43(1832) 2B(1756) B4(1720) EB(1648) 94(1392) 6A(1320) 0E(1208) 1F(1208) 24(1208) 41(1208) 47(1208) 

[2;66HAircrack-ng 1.2 rc4

[5;50H[00:00:08] Tested 7536641 keys (got 614 IVs)[K[7;4HKB    depth   byte(vote)
    0    0/  2   16(1792) 22(1792) 31(1792) 7D(1792) 0D(1536) 9D(1536) BF(1536) D8(1536) FE(1536) 00(1280) 08(1280) 
    1    0/  1   05(2560) AF(2048) 43(1792) C8(1792) 0F(1536) 2D(1536) 31(1536) 9D(1536) 9F(1536) D6(1536) EA(1536) 
    2    0/  1   8F(2048) D6(2048) 2A(1536) 50(1536) 77(1536) D0(1536) DF(1536) FE(1536) 09(1280) 15(1280) 19(1280) 
    3    0/  1   93(1792) 4C(1792) 6D(1792) 63(1536) F4(1536) 1E(1280) 26(1280) 27(1280) 29(1280) 35(1280) 37(1280) 
    4    0/  1   15(1792) 0F(1536) 26(1536) C2(1536) D4(1536) EB(1536) ED(1536) 03(1280) 1D(1280) 2C(1280) 4F(1280) 
    5    0/  1   4B(2816) 94(2048) DC(1792) 10(1536) 28(1536) 41(1536) 6C(1536) 71(1536) 96(1536) AC(1536) C3(1536) 
    6    0/  1   40(2048) 72(1792) 19(1536) 24(1536) 2A(1536) 41(1536) 5F(1536) 98(1536) DF(1536) 08(1280) 13(1280) 
    7    0/  1   3D(2048) BF(2048) 6C(1792) 87(1792) 99(1792) E6(1792) 00(1536) 08(1536) 63(1536) 7D(1536) 97(1536) 
    8    0/  1   F8(1792) F4(1792) 02(1536) 13(1536) 63(1536) 86(1536) 9B(1536) C5(1536) 17(1280) 25(1280) 42(1280) 
    9    0/  9   BC(1792) 09(1536) B2(1536) CF(1536) 2C(1280) 35(1280) 38(1280) 3F(1280) 42(1280) 4F(1280) 63(1280) 
   10    0/  1   9C(1792) F8(1792) 53(1536) 5A(1536) 7A(1536) 7F(1536) C5(1536) 01(1280) 05(1280) 0A(1280) 0C(1280) 
   11    0/  1   96(2304) 26(2048) 87(2048) 23(1536) 3B(1536) 3E(1536) 61(1536) 93(1536) AE(1536) DC(1536) E3(1536) 
   12    0/ 12   43(1832) 2B(1756) B4(1720) EB(1648) 94(1392) 6A(1320) 0E(1208) 1F(1208) 24(1208) 41(1208) 47(1208) 

[2;66HAircrack-ng 1.2 rc4

[5;50H[00:00:09] Tested 134785 keys (got 614 IVs)[K[7;4HKB    depth   byte(vote)
    0   26/ 27   FF(1280) 03(1024) 0A(1024) 0C(1024) 10(1024) 14(1024) 1C(1024) 1D(1024) 21(1024) 24(1024) 28(1024) 
    1    1/  2   B0(2048) 43(1792) C8(1792) 0F(1536) 2D(1536) 31(1536) 9D(1536) 9F(1536) D6(1536) EA(1536) 17(1280) 
    2    7/  8   4F(1536) 09(1280) 15(1280) 19(1280) 26(1280) 68(1280) 8D(1280) 96(1280) 9D(1280) BE(1280) C6(1280) 
    3   23/ 24   EA(1280) 00(1024) 03(1024) 04(1024) 0C(1024) 0E(1024) 11(1024) 12(1024) 18(1024) 1F(1024) 24(1024) 
    4    6/ 14   05(1536) 03(1280) 1D(1280) 2C(1280) 4F(1280) 54(1280) 58(1280) 64(1280) 6B(1280) 79(1280) 81(1280) 
[J
[2;66HAircrack-ng 1.2 rc4

[5;50H[00:00:09] Tested 161281 keys (got 614 IVs)[K[7;4HKB    depth   byte(vote)
    0   26/ 37   FF(1280) 03(1024) 0A(1024) 0C(1024) 10(1024) 14(1024) 1C(1024) 1D(1024) 21(1024) 24(1024) 28(1024) 
    1    1/  2   8B(2048) 43(1792) C8(1792) 0F(1536) 2D(1536) 31(1536) 9D(1536) 9F(1536) D6(1536) EA(1536) 17(1280) 
    2    7/  8   4F(1536) 09(1280) 15(1280) 19(1280) 26(1280) 68(1280) 8D(1280) 96(1280) 9D(1280) BE(1280) C6(1280) 
    3   23/  3   E8(1280) 00(1024) 03(1024) 04(1024) 0C(1024) 0E(1024) 11(1024) 12(1024) 18(1024) 1F(1024) 24(1024) 
    4   22/ 23   C6(1280) 02(1024) 04(1024) 05(1024) 07(1024) 0C(1024) 19(1024) 1F(1024) 22(1024) 23(1024) 36(1024) 
[J
[2;66HAircrack-ng 1.2 rc4

[5;50H[00:00:09] Tested 169921 keys (got 614 IVs)[K[7;4HKB    depth   byte(vote)
    0   59/ 60   FD(1024) 11( 768) 12( 768) 18( 768) 2A( 768) 39( 768) 3C( 768) 58( 768) 5E( 768) 60( 768) 63( 768) 
    1    1/  4   B2(2048) 43(1792) C8(1792) 0F(1536) 2D(1536) 31(1536) 9D(1536) 9F(1536) D6(1536) EA(1536) 17(1280) 
    2    7/  8   BB(1536) 09(1280) 15(1280) 19(1280) 26(1280) 68(1280) 8D(1280) 96(1280) 9D(1280) BE(1280) C6(1280) 
    3   23/  3   E8(1280) 00(1024) 03(1024) 04(1024) 0C(1024) 0E(1024) 11(1024) 12(1024) 18(1024) 1F(1024) 24(1024) 
    4   22/  4   DB(1280) 02(1024) 04(1024) 05(1024) 07(1024) 0C(1024) 19(1024) 1F(1024) 22(1024) 23(1024) 36(1024) 
[J
Failed. Next try with 5000 IVs.

Quitting aircrack-ng...
